,0
0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
1,0x00000000219ab540356cbb839cbe05303d7705fa
2,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8
3,0x73bceb1cd57c711feac4224d062b0f6ff338501e
4,0x53d284357ec70ce289d6d64134dfac8e511c8a3d
5,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea
6,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5
7,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59
8,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f
9,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30
10,0xf977814e90da44bfa03b6295a0616a897441acec
11,0x07ee55aa48bb72dcc6e9d78256648910de513eca
12,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c
13,0xdc76cd25977e0a5ae17155770273ad58648900d3
14,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6
15,0x28c6c06298d514db089934071355e5743bf21d60
16,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2
17,0xe853c56864a2ebe4576a807d26fdc4a0ada51919
18,0xe92d1a43df510f82c66382592a047d288f85226f
19,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae
20,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94
21,0xa929022c9107643515f5c777ce9a910f0d1e490c
22,0xdc24316b9ae028f1497c275eb9192a3ea0f67022
23,0x220866b1a2219f40e72f5c628b65d54268ca3a9d
24,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca
