bids,asks,version,time
"[3494.0, 1.3348]","[3495.0, 46.9276]",124926910573,2021-05-06 10:42:06.672
"[3493.0, 40.3874]","[3496.0, 43.3889]",124926910573,2021-05-06 10:42:06.672
"[3492.0, 56.955]","[3497.0, 68.854]",124926910573,2021-05-06 10:42:06.672
"[3491.0, 36.0141]","[3498.0, 16.3351]",124926910573,2021-05-06 10:42:06.672
"[3490.0, 22.3218]","[3499.0, 14.316]",124926910573,2021-05-06 10:42:06.672
"[3489.0, 14.4875]","[3500.0, 85.0976]",124926910573,2021-05-06 10:42:06.672
"[3488.0, 18.9469]","[3501.0, 30.1765]",124926910573,2021-05-06 10:42:06.672
"[3487.0, 24.966]","[3502.0, 57.6782]",124926910573,2021-05-06 10:42:06.672
"[3486.0, 42.6002]","[3503.0, 15.5023]",124926910573,2021-05-06 10:42:06.672
"[3485.0, 32.5298]","[3504.0, 10.5116]",124926910573,2021-05-06 10:42:06.672
"[3484.0, 14.987]","[3505.0, 62.1975]",124926910573,2021-05-06 10:42:06.672
"[3483.0, 2.3033]","[3506.0, 14.0741]",124926910573,2021-05-06 10:42:06.672
"[3482.0, 4.0391]","[3507.0, 3.9935]",124926910573,2021-05-06 10:42:06.672
"[3481.0, 18.4138]","[3508.0, 1214.9031]",124926910573,2021-05-06 10:42:06.672
"[3480.0, 9.9389]","[3509.0, 2.6919]",124926910573,2021-05-06 10:42:06.672
"[3479.0, 144.9339]","[3510.0, 72.2231]",124926910573,2021-05-06 10:42:06.672
"[3478.0, 53.6264]","[3511.0, 5.0485]",124926910573,2021-05-06 10:42:06.672
"[3477.0, 75.661]","[3512.0, 5.2829]",124926910573,2021-05-06 10:42:06.672
"[3476.0, 3.6141]","[3513.0, 4.9098]",124926910573,2021-05-06 10:42:06.672
"[3475.0, 0.3562]","[3514.0, 11.6802]",124926910573,2021-05-06 10:42:06.672
"[3493.0, 8.7009]","[3494.0, 4.6287]",124926911817,2021-05-06 10:42:07.619
"[3492.0, 73.4846]","[3495.0, 44.6134]",124926911817,2021-05-06 10:42:07.619
